Date,Category,Payment_modes,Description,Amount,Cashback
2024-07-25,Insurance,Debit Card,Health Insurance,4321,10
2024-07-05,Groceries,Cash,Dairy,573,5
2024-07-11,Bills,Gpay,Electricity Bill,2782,50
2024-07-17,Groceries,Net Banking,Vegeatbles,1756,50
2024-07-29,Fuel,Net Banking,CNG,3644,1000
2024-07-05,Rent,Gpay,Parking Rent,129,10
2024-07-26,Groceries,Net Banking,Vegeatbles,4313,50
2024-07-13,Fees,Credit card,College Fees,3904,50
2024-07-20,Insurance,Net Banking,LIC,688,5
2024-07-08,Fuel,Debit Card,Petrol,4277,10
2024-07-01,Fees,Debit Card,School Fees,4541,12
2024-07-11,Groceries,Net Banking,Dairy,2821,10
2024-07-14,Groceries,Gpay,Fruits,4738,100
2024-07-30,Fees,Credit card,School Fees,2565,1000
2024-07-02,Groceries,Cash,Fruits,4956,0
2024-07-15,Rent,Net Banking,Parking Rent,2397,12
2024-07-23,Fees,Debit Card,School Fees,4627,10
2024-07-15,Fuel,Gpay,Diesel,1234,0
2024-07-17,Insurance,Debit Card,Health Insurance,3832,12
2024-07-11,Fees,Net Banking,School Fees,1483,0
2024-07-19,Fees,Net Banking,School Fees,3294,5
2024-07-06,Bills,Credit card,Water Bill,4800,50
2024-07-27,Rent,Gpay,Residential Rent,4310,10
2024-07-08,Groceries,Gpay,Bakery,2951,15
2024-07-13,Fees,Cash,College Fees,2908,100
2024-07-30,Insurance,Net Banking,Health Insurance,2041,0
2024-07-27,Bills,Cash,Water Bill,2307,0
2024-07-11,Fees,Credit card,College Fees,1670,12
2024-07-04,Fees,Gpay,School Fees,2796,0
2024-07-21,Rent,Net Banking,Commercial Rent,566,0
2024-07-08,Bills,Debit Card,Water Bill,2407,5
2024-07-04,Fees,Cash,School Fees,4137,1000
2024-07-26,Bills,Gpay,Water Bill,4709,100
2024-07-02,Groceries,Cash,Vegeatbles,1541,10
2024-07-09,Bills,Debit Card,Electricity Bill,640,10
2024-07-06,Groceries,Credit card,Vegeatbles,4865,15
2024-07-18,Bills,Net Banking,Electricity Bill,4103,5
2024-07-21,Groceries,Cash,Vegeatbles,3768,1000
2024-07-06,Fees,Debit Card,College Fees,2721,10
2024-07-05,Fuel,Gpay,Petrol,2348,0
2024-07-08,Groceries,Net Banking,Bakery,3918,100
2024-07-08,Insurance,Credit card,Health Insurance,475,5
2024-07-05,Rent,Gpay,Commercial Rent,4917,100
2024-07-25,Insurance,Gpay,Health Insurance,858,1000
2024-07-24,Insurance,Net Banking,LIC,3204,1000
2024-07-10,Fuel,Net Banking,CNG,4230,0
2024-07-07,Fees,Cash,College Fees,1578,0
2024-07-04,Fees,Net Banking,College Fees,2333,15
2024-07-03,Groceries,Net Banking,Bakery,2322,50
2024-07-17,Groceries,Cash,Bakery,4845,100
2024-07-05,Rent,Debit Card,Parking Rent,2600,12
2024-07-06,Groceries,Net Banking,Vegeatbles,2452,1000
2024-07-16,Fees,Credit card,School Fees,364,5
2024-07-24,Fees,Cash,College Fees,637,0
2024-07-09,Rent,Credit card,Commercial Rent,2204,0
2024-07-08,Rent,Debit Card,Commercial Rent,1149,15
2024-07-25,Fees,Debit Card,School Fees,914,10
2024-07-25,Rent,Credit card,Residential Rent,4753,50
2024-07-26,Insurance,Credit card,Vehicle Insurance,2681,0
2024-07-29,Fees,Net Banking,School Fees,4372,1000
2024-07-14,Groceries,Cash,Bakery,3878,50
2024-07-30,Bills,Net Banking,Telephone bill,4688,0
2024-07-22,Fuel,Debit Card,CNG,3561,15
2024-07-04,Insurance,Debit Card,Health Insurance,2719,12
2024-07-26,Insurance,Net Banking,LIC,1524,50
2024-07-26,Bills,Gpay,Electricity Bill,3534,10
2024-07-05,Insurance,Gpay,LIC,1025,10
2024-07-08,Fuel,Gpay,CNG,4446,5
2024-07-24,Bills,Net Banking,Electricity Bill,3457,5
2024-07-08,Groceries,Cash,Vegeatbles,2501,15
2024-07-05,Groceries,Cash,Dairy,1232,50
2024-07-16,Insurance,Gpay,Health Insurance,3133,1000
2024-07-29,Groceries,Net Banking,Dairy,253,12
2024-07-03,Insurance,Debit Card,Vehicle Insurance,765,0
2024-07-09,Rent,Debit Card,Parking Rent,3287,50
2024-07-24,Rent,Credit card,Residential Rent,3718,12
2024-07-05,Fees,Debit Card,School Fees,3604,5
2024-07-29,Fees,Gpay,College Fees,2413,5
2024-07-09,Fuel,Cash,Diesel,260,12
2024-07-22,Bills,Debit Card,Electricity Bill,1476,1000
2024-07-02,Fuel,Gpay,Diesel,1946,100
2024-07-12,Fuel,Gpay,Diesel,4916,50
2024-07-21,Insurance,Credit card,LIC,3368,10
2024-07-02,Insurance,Net Banking,Vehicle Insurance,3342,15
2024-07-02,Fees,Cash,School Fees,1501,10
2024-07-22,Bills,Cash,Electricity Bill,1515,50
2024-07-26,Fuel,Credit card,Diesel,759,15
2024-07-24,Groceries,Credit card,Bakery,4107,100
2024-07-25,Rent,Gpay,Residential Rent,302,0
2024-07-02,Groceries,Credit card,Dairy,4832,50
2024-07-26,Bills,Debit Card,Electricity Bill,3917,12
2024-07-26,Fuel,Credit card,Diesel,3640,15
2024-07-04,Insurance,Debit Card,Health Insurance,210,12
2024-07-04,Bills,Debit Card,Water Bill,3482,50
2024-07-17,Groceries,Net Banking,Bakery,2974,5
2024-07-09,Insurance,Gpay,Vehicle Insurance,286,10
2024-07-27,Fees,Gpay,School Fees,4596,1000
2024-07-16,Insurance,Credit card,Vehicle Insurance,1511,100
2024-07-11,Bills,Cash,Telephone bill,755,50
2024-07-12,Bills,Gpay,Water Bill,1035,15
